query_id,rank,recommended_place_name,recommended_district,recommended_place_type,candidate_source,baseline_score,raw_rank,district_match_score,place_type_score,time_context_score,voter_target_score,floating_population_score,worker_population_score,transit_access_score,market_commercial_score,welfare_policy_score,campaign_context_score,candidate_style_score,novelty_diversity_score,rank_score,semantic_similarity,composite_similarity,final_score,score,exact_place_hit,explanation
2026-03-13_14:10_노원구,2,상계중앙시장,노원구,market,market,0.4739,10,1.0,1.0,0.8,0.9,0.638145,0.1,0.25,1.0,0.0,0.791667,0.194436,0.02,0.909091,0.335953,0.862345,1.461134,1.461134,True,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_14:50_노원구,1,공릉노인복지관,노원구,senior_friendly,senior_friendly,0.9591,10,1.0,1.0,0.6,1.0,0.780005,0.0,0.1,0.05,0.9,0.791667,0.121857,0.04,0.909091,0.143939,0.823144,1.848911,1.848911,False,"이 장소는 노원구 자치구 조건과 일치, senior_friendly 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 복지·정책 현장 맥락과 연결으로 평가되어 상위 추천에 배치되었다."
2026-03-13_15:30_노원구,1,공릉동도깨비시장,노원구,market,market,0.4746,9,1.0,1.0,0.8,0.9,0.63853,0.1,0.25,1.0,0.0,0.791667,0.194436,0.02,0.919192,0.34163,0.862913,1.462156,1.462156,False,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_15:30_노원구,2,상계중앙시장,노원구,market,market,0.4739,10,1.0,1.0,0.8,0.9,0.638145,0.1,0.25,1.0,0.0,0.791667,0.194436,0.02,0.909091,0.34163,0.862913,1.461134,1.461134,False,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,1,오류버들시장 골목형상점가,구로구,market,market,0.4915,4,1.0,1.0,0.85,0.9,0.667825,0.1,0.25,1.0,0.0,0.791667,0.138722,0.076923,0.969697,0.351495,0.8714,1.478393,1.478393,False,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,2,남구로시장,구로구,market,market,0.4811,5,1.0,1.0,0.85,0.9,0.662105,0.1,0.25,1.0,0.0,0.791667,0.138722,0.076923,0.959596,0.351495,0.8714,1.467404,1.467404,True,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,3,그라운드고척 골목형상점가,구로구,market,market,0.4792,6,1.0,1.0,0.85,0.9,0.66106,0.1,0.25,1.0,0.0,0.791667,0.138722,0.076923,0.949495,0.351495,0.8714,1.465149,1.465149,False,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,4,구로시장,구로구,market,market,0.4737,7,1.0,1.0,0.85,0.9,0.658035,0.1,0.25,1.0,0.0,0.791667,0.138722,0.076923,0.939394,0.351495,0.8714,1.459195,1.459195,True,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,5,가리봉시장,구로구,market,market,0.4705,8,1.0,1.0,0.85,0.9,0.656275,0.1,0.25,1.0,0.0,0.791667,0.138722,0.076923,0.929293,0.351495,0.8714,1.455604,1.455604,False,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,6,고척근린시장,구로구,market,market,0.4696,9,1.0,1.0,0.85,0.9,0.65578,0.1,0.25,1.0,0.0,0.791667,0.138722,0.076923,0.919192,0.351495,0.8714,1.454376,1.454376,False,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
