living_population_id,date_id,admin_dong_code,total_living_population,age_20_40_population,age_60_plus_population,age_20_40_ratio,age_60_plus_ratio,morning_living_population,afternoon_living_population,daytime_living_population,morning_score,afternoon_score
20260130_11350621,20260130,11350621,626529.9338,148585.3641,102847.3616,0.237156,0.164154,122329.75469999999,166767.8471,289097.6018,0.423143,0.576857
20260130_11350624,20260130,11350624,339152.3473,94008.5862,93709.2651,0.277187,0.276304,68497.715,88707.83129999999,157205.5463,0.435721,0.564279
20260130_11350625,20260130,11350625,759034.0783,229356.0197,185509.988,0.302168,0.244403,157543.7168,195298.8331,352842.5499,0.446499,0.553501
20260130_11350630,20260130,11350630,753220.5522,216672.3696,233140.8139,0.287661,0.309525,154998.87219999998,192262.0509,347260.9231,0.446347,0.553653
20260130_11350640,20260130,11350640,660013.5321,235520.7243,164038.7839,0.356842,0.248539,124694.4789,198366.137,323060.6159,0.385979,0.614021
20260130_11350665,20260130,11350665,448309.8031,124013.40109999999,132684.7401,0.276624,0.295967,93621.6958,111040.7953,204662.49109999998,0.457444,0.542556
20260130_11350670,20260130,11350670,414959.5224,118596.6893,125382.9005,0.285803,0.302157,82950.99769999999,107864.05410000001,190815.05180000002,0.434719,0.565281
20260130_11350695,20260130,11350695,989913.9203,345189.8196,235226.9782,0.348707,0.237624,203140.24310000002,301926.7505,505066.99360000005,0.402205,0.597795
20260130_11350700,20260130,11350700,472742.2252,166446.9514,101653.8518,0.352088,0.21503,95640.2607,104209.4102,199849.6709,0.478561,0.521439
20260130_11350710,20260130,11350710,278740.9088,87494.4905,68857.7007,0.313892,0.247031,56866.8426,73443.7925,130310.6351,0.436394,0.563606
20260130_11350720,20260130,11350720,306206.128,109875.3654,73733.8698,0.358828,0.240798,63556.4849,91063.3253,154619.8102,0.41105,0.58895
20260130_11380510,20260130,11380510,720512.8409,258243.8726,180503.3307,0.358417,0.250521,146084.5614,190543.9561,336628.5175,0.433964,0.566036
20260130_11380520,20260130,11380520,588238.9146,192955.2536,156904.0739,0.328022,0.266735,119624.9736,149365.6763,268990.64989999996,0.444718,0.555282
20260130_11380530,20260130,11380530,444764.05689999997,148720.1426,127641.0968,0.33438,0.286986,92135.8185,104448.0558,196583.8743,0.468685,0.531315
20260130_11380551,20260130,11380551,407994.6891,154198.18,103819.4829,0.377942,0.254463,82250.3989,112798.54699999999,195048.9459,0.421691,0.578309
20260130_11380552,20260130,11380552,526864.3606,179858.56339999998,124914.1839,0.341375,0.23709,107507.5092,135402.5219,242910.0311,0.442582,0.557418
20260130_11380560,20260130,11380560,598060.8437,186298.6769,150527.1655,0.311505,0.251692,127826.9048,142857.741,270684.6458,0.472236,0.527764
20260130_11380570,20260130,11380570,1322343.5175,517687.6922,287526.5491,0.391493,0.217437,262643.1934,348523.6596,611166.853,0.429741,0.570259
20260130_11380580,20260130,11380580,535423.26,206992.9675,113789.4427,0.386597,0.212522,112968.8738,139818.8032,252787.677,0.446892,0.553108
20260130_11380590,20260130,11380590,410412.0779,129640.0895,80409.7571,0.315878,0.195924,87100.8145,98912.3191,186013.1336,0.468251,0.531749
20260130_11380600,20260130,11380600,519055.5388,183300.5992,140107.9077,0.353143,0.269929,100874.75570000001,133780.3022,234655.0579,0.429885,0.570115
