market_id,market_name,district_name,market_address,market_type,floor_area,store_count
중랑구_봉우시장_골목형상점가,봉우시장 골목형상점가,중랑구,서울 중랑구 봉우재로14길 19 봉우시장 골목형상점가,골목형,2788.0,68
중랑구_사가정51길_골목형상점가,사가정51길 골목형상점가,중랑구,서울 중랑구 사가정로51길 38 사가정51길 골목형상점가,골목형,4392.0,102
중랑구_사가정시장,사가정시장,중랑구,서울특별시 중랑구 면목로44길 16 사가정시장,골목형,6603.0,137
중랑구_상봉먹자_골목형상점가,상봉먹자 골목형상점가,중랑구,서울특별시 중랑구 봉우재로33길 일대 상봉먹자골목형상점가,골목형,8905.0,137
중랑구_신내구길_골목형상점가,신내구길 골목형상점가,중랑구,서울 중랑구 신내로14길 26 신내구길 골목형상점가,골목형,6893.0,118
중랑구_신아타운,신아타운,중랑구,서울특별시 중랑구 봉화산로 194 신아타운,건물형,31128.0,255
중랑구_우림골목시장,우림골목시장,중랑구,서울특별시 중랑구 망우로62길 52-4 우림골목시장,골목형,22269.0,125
중랑구_유영시장,유영시장,중랑구,서울특별시 중랑구 봉우재로70길 96 유영시장,건물형,7153.67,3
중랑구_장미꽃빛거리_골목형상점가,장미꽃빛거리 골목형상점가,중랑구,서울 중랑구 동일로163길 7 장미꽃빛거리 골목형상점가,골목형,1912.0,79
중랑구_장미제일시장,장미제일시장,중랑구,서울특별시 중랑구 동일로143길 43 장미제일시장,골목형,5966.12,56
중랑구_중랑교종합상가,중랑교종합상가,중랑구,서울특별시 중랑구 망우로32길 23 중랑교종합상가,건물형,3472.0,54
중랑구_중랑동부시장,중랑동부시장,중랑구,서울특별시 중랑구 동일로 109길 31-5 중랑동부시장,골목형,0.0,121
중랑구_태능_골목형상점가,태능 골목형상점가,중랑구,서울특별시 중랑구 중랑역로 일대 태능 골목형상점가,골목형,4528.0,87
중랑구_태능엔터피아,태능엔터피아,중랑구,서울특별시 중랑구 동일로129길 35 태능엔터피아,건물형,7776.0,42
성북구_길음시장,길음시장,성북구,서울특별시 성북구 동소문로227 길음동,건물형,11425.84,87
성북구_꿈의숲장곡골목형상점가,꿈의숲장곡골목형상점가,성북구,서울특별시 성북구 돌곶이로39길 꿈의숲장곡골목형상점가,골목형,2849.0,66
성북구_돈암시장,돈암시장,성북구,서울 성북구 동소문로18길 18 돈암시장,골목형,13867.0,105
성북구_돌곶이시장,돌곶이시장,성북구,서울특별시 성북구 한천로 73길 22 돌곶이시장,골목형,7150.0,80
성북구_밤나무골시장,밤나무골시장,성북구,서울특별시 성북구 오패산로 79 밤나무골시장,골목형,0.0,28
성북구_배밭골골목형상점가,배밭골골목형상점가,성북구,서울특별시 성북구 정릉로10길 배밭골골목형상점가,골목형,3061.0,64
성북구_석계음식문화거리,석계음식문화거리,성북구,서울 성북구 한천로78길 71 석계음식문화거리 골목형상점가,골목형,10543.5,161
성북구_성북천골목형상점가,성북천골목형상점가,성북구,서울특별시 성북구 동소문로2길 성북천골목형상점가,골목형,5687.35,94
성북구_월곡달빛오거리골목형상점가,월곡달빛오거리골목형상점가,성북구,서울 성북구 장월로1길 113 월빛달빛오거리 골목형상점가 일대,골목형,10408.0,168
성북구_장위전통시장,장위전통시장,성북구,서울특별시 성북구장위로38길 46-1 장위전통시장,골목형,4800.0,64
성북구_정릉서경대길골목형상점가,정릉서경대길골목형상점가,성북구,서울특별시 성북구 보국문로16길 정릉서경대길골목형상점가,골목형,4952.7,75
성북구_정릉시장,정릉시장,성북구,서울특별시 성북구 보국문로11길 18-19 정릉시장고객편의센터,골목형,9954.0,113
성북구_정릉아리랑시장,정릉아리랑시장,성북구,서울특별시 성북구 정릉로26가길 32 정릉아리랑시장,골목형,4284.0,48
성북구_종암북바위길골목형상점가,종암북바위길골목형상점가,성북구,서울특별시 성북구 종암로21길 종암북바위길골목형상점가,골목형,8763.0,157
