senior_id,facility_name,facility_type,district_code,district_name,facility_address
A4790,강남구립 역삼노인복지관,노인여가복지시설,1168000000,강남구,서울특별시 강남구 도곡로27길 27 (역삼동)
A4947,서초구립중앙노인종합복지관,노인여가복지시설,1165000000,서초구,서울특별시 서초구 서초대로54길
A5818,강동구립 해공노인복지관,노인여가복지시설,1174000000,강동구,서울특별시 강동구 천중로17길 42-16 (천호동)
A5842,구립신사노인복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 증산로15길 47 (신사동)
A5899,도봉노인종합복지관,노인여가복지시설,1132000000,도봉구,서울특별시 도봉구 도당로2길 12-13 (쌍문동)
A6010,성가정노인종합복지관,노인여가복지시설,1174000000,강동구,서울특별시 강동구 양재대로156길 28 (고덕동)
A6055,아현실버복지관,노인여가복지시설,1144000000,마포구,서울특별시 마포구 환일길 3 (아현동)
A6079,금천노인종합복지관,노인여가복지시설,1154500000,금천구,서울특별시 금천구 시흥대로51길 93-32 (시흥동)
A6080,마포노인종합복지관,노인여가복지시설,1144000000,마포구,서울특별시 마포구 서강로 68 (창전동)
A6226,광진노인종합복지관,노인여가복지시설,1121500000,광진구,서울특별시 광진구 군자로 88 (군자동)
A6327,강남구립 대치노인복지관,노인여가복지시설,1168000000,강남구,서울특별시 강남구 역삼로69길 22 (대치동)
A6449,강남구립 강남시니어플라자,노인여가복지시설,1168000000,강남구,서울특별시 강남구 봉은사로 332 (역삼동)
A6518,금천호암노인종합복지관,노인여가복지시설,1154500000,금천구,서울특별시 금천구 독산로72길 86-5 (독산동)
A6622,우리마포복지관,노인여가복지시설,1144000000,마포구,서울특별시 마포구 신촌로26길 10 (노고산동)
A7031,송파실벗뜨락,노인여가복지시설,1171000000,송파구,"서울특별시 송파구 송파동 113번지 2호   4,5,6층"
A7039,온수어르신복지관,노인여가복지시설,1153000000,구로구,서울특별시 구로구 부일로9길 111 (온수동)
A7040,공릉노인복지관,노인여가복지시설,1135000000,노원구,서울특별시 노원구 공릉로 129 (공릉동)
A7046,강서구립곰달래어르신복지센터,노인여가복지시설,1150000000,강서구,서울특별시 강서구 화곡동 890번지
A7146,구로노인종합복지관,노인여가복지시설,1153000000,구로구,서울특별시 구로구 새말로16길 25 번지 7 호
A7296,왕십리도선동노인복지관,노인여가복지시설,1120000000,성동구,"서울특별시 성동구 마장로 141 (상왕십리동, 왕십리도선동 복합청사 노인복지센터)"
A7577,서울특별시립강동노인종합복지관,노인여가복지시설,1174000000,강동구,서울특별시 강동구 동남로71길 32-5 (명일동)
A7727,송파복지센터,노인여가복지시설,1171000000,송파구,서울특별시 송파구 충민로 184 (장지동)
A7958,구립응암노인복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 응암로21가길 5-1 (응암동)
A8780,강남구립 논현노인종합복지관,노인여가복지시설,1168000000,강남구,서울특별시 강남구 강남대로128길 59 (논현동)
A9358,구립불광노인복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 연서로32길 17-11 (불광동)
A9619,강서구립화곡노인복지센터,노인여가복지시설,1150000000,강서구,서울특별시 강서구 월정로30길 963층~5층
A9646,강서구립연지노인복지센터,노인여가복지시설,1150000000,강서구,서울특별시 강서구 화곡로58길 30-7
C0000006552,근화노인교실,노인여가복지시설,1114000000,중구,서울특별시 중구 동호로20길 24 (신당동)
C0000006693,도원동교회 노인교실,노인여가복지시설,1117000000,용산구,서울특별시 용산구 새창로12길 11-8 (도원동)
C0000006711,후암동성당 시니어아카데미,노인여가복지시설,1117000000,용산구,서울특별시 용산구 후암로34길 21-8 (후암동)
C0000006714,용산성당 성모성심 아카데미,노인여가복지시설,1117000000,용산구,서울특별시 용산구 효창원로15길 37 (산천동)
C0000006721,원동교회 늘품나루학교,노인여가복지시설,1117000000,용산구,서울특별시 용산구 원효로64길 21 (원효로2가)
